empresa,cidade,segmento,email,status,fonte
Restaurante e Pizzaria Scallet,Salto/SP,Restaurante,pedidos@scallet.com.br,EMAIL CONFIRMADO (site oficial),scallet.com.br
Bagley do Brasil (Arcor),Campinas/SP,Industria snacks,aquiarcor@arcor.com,EMAIL CONFIRMADO (SAC oficial),arcor.com.br/contato
Alimentare Servicos de Alimentacao,Salto/SP,Refeicoes coletivas,,SEM EMAIL PUBLICO — contato por telefone/formulario,forneceb2b/instagram
Kerry do Brasil,Campinas/SP,Industria ingredientes,dpo.kerry@lbca.com.br,EMAIL PARCIAL (DPO) — grande usa formulario fornecedor,kerry.com
Monin Brasil Industria,Itu/SP,Industria xaropes/sabores,faleconosco@monin.com,EMAIL CONFIRMADO (site oficial),monin.com.br/contact
HNK BR Industria de Bebidas,Itu/SP,Industria bebidas (Schincariol),,SEM EMAIL PUBLICO — buscar contato comercial,econodata
Pryos Ltda,Itu/SP,Industria bebidas (refrigerantes),,SEM EMAIL PUBLICO,econodata
Luvim Ltda,Itu/SP,Industria bebidas (refrigerantes),,SEM EMAIL PUBLICO,econodata
Alimentare Nutricao e Servicos,Campinas/SP,Refeicoes coletivas,,SEM EMAIL PUBLICO,econodata
Higa Produtos Alimenticios,Campinas/SP,Varejo alimentos,,SEM EMAIL PUBLICO,econodata
