empresa,cidade,segmento,cnpj_ou_referencia,potencial,fonte,email_candidato,status_entrega
Alimentare Servicos de Alimentacao LTDA,Salto/SP,Restaurantes e refeicoes coletivas,22.391.172/0001-76,ALTO - cozinha industrial,econodata.com.br,contato@alimentare.com.br,bounce
Omega Alimentacao e Servicos Especializados S/A,Salto/SP,Restaurantes e refeicoes coletivas,58.981.366/0001-79,ALTO - cozinha industrial,econodata.com.br,,sem_email
Nutriplus Alimentacao e Tecnologia S/A,Salto/SP,Restaurantes e refeicoes coletivas,49.254.634/0001-60,ALTO - cozinha industrial,econodata.com.br,,sem_email
Casa Alianca - Padaria Gourmet,Salto/SP,Fabricacao de produtos de panificacao,18.821.779/0001-71,MEDIO - frituras/padaria,econodata.com.br,contato@padariaalianca.com.br,entregue
Restaurante e Pizzaria Scallet,Salto/SP,Restaurante,53.441.457/0001-06,MEDIO,econodata.com.br,contato@scallet.com.br,bounce
Restaurante Suindara,Salto/SP,Restaurante,19.666.844/0001-02,MEDIO,econodata.com.br,,sem_email
Leley Sorvetes (Gelato Salto),Salto/SP,Sorveteria/fabricacao,63.441.839/0001-85,MEDIO,econodata.com.br,,sem_email
Rei das Massas Pereira,Salto/SP,Alimentos preparados,05.394.699/0001-35,MEDIO,econodata.com.br,,sem_email
Supermercados Dias,Salto/SP,Supermercado,16.812.903/0001-07,MEDIO - praca de alimentacao,econodata.com.br,contato@jvmsupermarket.com.br,entregue
Mercado Teles de Salto,Salto/SP,Mercado,18.058.780/0001-96,MEDIO,econodata.com.br,,sem_email
Kelco Industrial Produtos Animais LTDA,Indaiatuba/SP,Industria alimentos (racao),13.809.963/0001-82,ALTO - oleo no processo,econodata.com.br,,sem_email
Palacios Brasil Comercializacao de Alimentos LTDA,Indaiatuba/SP,Industria alimentos,19.362.924/0001-66,ALTO,econodata.com.br,,sem_email
Crista Industria e Comercio LTDA,Indaiatuba/SP,Industria alimentos (oleos/gorduras?),00.653.118/0001-19,ALTO - possivel gerador de oleo,econodata.com.br,,sem_email
Sumerbol Supermercados LTDA,Indaiatuba/SP,Supermercado,45.802.428/0001-96,MEDIO - praca de alimentacao,econodata.com.br,,sem_email
Sushi Fast LTDA,Indaiatuba/SP,Alimentos preparados,45.360.444/0001-76,MEDIO - frituras,econodata.com.br,,sem_email
Frangao Assados e Sucos Delivery,Indaiatuba/SP,Alimentos preparados,39.846.160/0001-91,MEDIO - frituras,econodata.com.br,,sem_email
Croasonho (Cosela Restaurantes),Indaiatuba/SP,Restaurante,64.843.324/0001-74,MEDIO,econodata.com.br,,sem_email
20.28 Restaurante (GH Restaurantes),Indaiatuba/SP,Restaurante,32.097.356/0001-81,MEDIO,econodata.com.br,,sem_email
Sapore S.A.,Campinas/SP,Restaurantes (rede),67.945.071/0001-38,ALTO - rede,multiunidades,contato@sapore.com.br,entregue
Alimentare Nutricao e Servicos LTDA,Campinas/SP,Restaurantes/refeicoes,09.649.306/0001-48,ALTO,econodata.com.br,,sem_email
Higa Produtos Alimenticios LTDA,Campinas/SP,Varejo alimentos,46.029.724/0001-69,MEDIO,econodata.com.br,,sem_email
Kerry do Brasil LTDA,Campinas/SP,Industria alimentos (ingredientes),02.332.686/0001-43,ALTO - industria,econodata.com.br,contato@kerry.com,bounce
Bagley do Brasil Alimentos LTDA,Campinas/SP,Industria alimentos (snacks),06.042.467/0001-80,ALTO - frituras,snacks,contato@arcor.com,bounce
Metha Alimentos,Sorocaba/SP,Alimentacao institucional (360k refeicoes/mes),CNPJ 27.828.593/0001-35,ALTO - cozinha industrial,site da empresa,,sem_email
Massima Alimentacao,Regiao (refeicoes coletivas),Refeicoes coletivas,-,ALTO - cozinhas de industrias,site da empresa,contato@massimaalimentacao.com.br,entregue
